RUN	com.testingexcellence.simulations.CreateSimulation	createsimulation	1559220230744	 	3.1.2
REQUEST	80		Conector IMS HttpCode 200	1559220232590	1559220233325	OK	 
REQUEST	88		Conector IMS HttpCode 200	1559220232593	1559220233326	OK	 
REQUEST	199		Conector XO HttpCode 200	1559220232740	1559220233327	OK	 
REQUEST	96		Conector IMS HttpCode 200	1559220232597	1559220233328	OK	 
REQUEST	104		Conector XO HttpCode 200	1559220232601	1559220233329	OK	 
REQUEST	112		Conector XO HttpCode 200	1559220232608	1559220233331	OK	 
REQUEST	101		Conector XO HttpCode 200	1559220232609	1559220233331	KO	j.i.IOException: Premature close
REQUEST	61		Conector IMS HttpCode 200	1559220232659	1559220233333	KO	j.i.IOException: Premature close
REQUEST	45		Conector IMS HttpCode 422	1559220233220	1559220233339	OK	 
REQUEST	120		Conector XO HttpCode 200	1559220232616	1559220233340	OK	 
REQUEST	128		Conector XO HttpCode 200	1559220232625	1559220233344	OK	 
REQUEST	117		Conector XO HttpCode 200	1559220232745	1559220233345	OK	 
REQUEST	41		Conector IMS HttpCode 200	1559220232560	1559220233345	OK	 
REQUEST	49		Conector IMS HttpCode 200	1559220232563	1559220233347	OK	 
REQUEST	1		Conector IMS HttpCode 200	1559220232568	1559220233348	OK	 
REQUEST	65		Conector IMS HttpCode 200	1559220232579	1559220233349	OK	 
REQUEST	73		Conector IMS HttpCode 200	1559220232586	1559220233351	OK	 
REQUEST	81		Conector IMS HttpCode 200	1559220232591	1559220233352	OK	 
REQUEST	89		Conector IMS HttpCode 200	1559220232594	1559220233353	OK	 
REQUEST	97		Conector IMS HttpCode 200	1559220232597	1559220233355	OK	 
REQUEST	105		Conector XO HttpCode 200	1559220232602	1559220233356	OK	 
REQUEST	121		Conector XO HttpCode 200	1559220232617	1559220233358	OK	 
REQUEST	51		Conector IMS HttpCode 200	1559220232573	1559220233364	OK	 
REQUEST	67		Conector IMS HttpCode 200	1559220232580	1559220233368	OK	 
REQUEST	83		Conector IMS HttpCode 200	1559220232591	1559220233370	OK	 
REQUEST	91		Conector IMS HttpCode 200	1559220232594	1559220233372	OK	 
REQUEST	99		Conector IMS HttpCode 200	1559220232598	1559220233373	OK	 
REQUEST	107		Conector XO HttpCode 200	1559220232604	1559220233375	OK	 
REQUEST	115		Conector XO HttpCode 200	1559220232612	1559220233376	OK	 
REQUEST	123		Conector XO HttpCode 200	1559220232619	1559220233378	OK	 
